data;ticker;fechamento_b3_rs;fechamento_ajustado_rs;volume_rs
2025-06-02;ITUB4;37,15;36,0680;857640964,00
2025-06-03;ITUB4;37,03;35,9515;869778610,00
2025-06-04;ITUB4;36,94;35,8641;636925549,00
2025-06-05;ITUB4;36,49;35,4272;909421033,00
2025-06-06;ITUB4;36,58;35,5146;664198395,00
2025-06-09;ITUB4;36,39;35,3301;869763441,00
2025-06-10;ITUB4;36,00;34,9515;736647595,00
2025-06-11;ITUB4;36,33;35,2718;587110140,00
2025-06-12;ITUB4;36,61;35,5437;799808504,00
2025-06-13;ITUB4;36,17;35,1165;520519278,00
2025-06-16;ITUB4;36,83;35,7573;641433754,00
2025-06-17;ITUB4;37,05;35,9709;722495788,00
2025-06-18;ITUB4;36,83;35,7573;726576808,00
2025-06-20;ITUB4;36,64;35,5728;775301373,00
2025-06-23;ITUB4;36,56;35,4951;519500116,00
2025-06-24;ITUB4;37,25;36,1650;750692335,00
2025-06-25;ITUB4;36,58;35,5146;726035608,00
2025-06-26;ITUB4;36,31;35,2524;838349425,00
2025-06-27;ITUB4;36,27;35,2136;499751262,00
2025-06-30;ITUB4;36,95;35,8738;1093602382,00
2025-07-01;ITUB4;37,10;36,0194;671839528,00
2025-07-02;ITUB4;36,80;35,7282;726517479,00
2025-07-03;ITUB4;37,71;36,6117;507965805,00
2025-07-04;ITUB4;37,73;36,6311;276370215,00
2025-07-07;ITUB4;37,23;36,1456;502838851,00
2025-07-08;ITUB4;37,14;36,0583;775284792,00
2025-07-09;ITUB4;36,37;35,3107;569880823,00
2025-07-10;ITUB4;35,25;34,2233;1359804334,00
2025-07-11;ITUB4;34,96;33,9417;1461542053,00
2025-07-14;ITUB4;34,90;33,8835;902459538,00
2025-07-15;ITUB4;35,02;34,0000;929287917,00
2025-07-16;ITUB4;35,19;34,1650;942194969,00
2025-07-17;ITUB4;35,72;34,6796;884279075,00
2025-07-18;ITUB4;35,07;34,0485;1101987520,00
2025-07-21;ITUB4;35,48;34,4466;424712383,00
2025-07-22;ITUB4;35,00;33,9806;797984389,00
2025-07-23;ITUB4;35,39;34,3592;455585411,00
2025-07-24;ITUB4;35,06;34,0388;389609693,00
2025-07-25;ITUB4;35,21;34,1845;634675348,00
2025-07-28;ITUB4;34,47;33,4660;596705752,00
2025-07-29;ITUB4;34,67;33,6602;561452832,00
2025-07-30;ITUB4;35,07;34,0485;658498692,00
2025-07-31;ITUB4;35,16;34,1359;747214785,00
2025-08-01;ITUB4;34,93;33,9126;561696432,00
2025-08-04;ITUB4;35,30;34,2718;597008804,00
2025-08-05;ITUB4;35,69;34,6505;1711365869,00
2025-08-06;ITUB4;36,14;35,0874;1457476300,00
2025-08-07;ITUB4;36,78;35,7087;960905176,00
2025-08-08;ITUB4;37,03;35,9515;657720015,00
2025-08-11;ITUB4;37,26;36,1748;817979826,00
2025-08-12;ITUB4;38,03;36,9223;1025554540,00
2025-08-13;ITUB4;37,67;36,5728;831257729,00
2025-08-14;ITUB4;37,62;36,5243;981585295,00
2025-08-15;ITUB4;37,49;36,3981;711415548,00
2025-08-18;ITUB4;37,76;36,6602;794840635,00
2025-08-19;ITUB4;36,31;35,2524;1438292570,00
2025-08-20;ITUB4;36,33;35,2718;596325237,00
2025-08-21;ITUB4;36,37;35,3107;568801840,00
2025-08-22;ITUB4;37,39;36,3010;1175903155,00
2025-08-25;ITUB4;37,20;36,1165;400167939,00
2025-08-26;ITUB4;36,95;35,8738;790431932,00
2025-08-27;ITUB4;37,57;36,4757;454744510,00
2025-08-28;ITUB4;38,35;37,2330;938105222,00
2025-08-29;ITUB4;38,49;37,3689;1218014793,00
2025-09-01;ITUB4;38,78;37,6505;560052300,00
2025-09-02;ITUB4;38,12;37,0097;903946001,00
2025-09-03;ITUB4;37,79;36,6893;760108487,00
2025-09-04;ITUB4;37,94;36,8350;584784063,00
2025-09-05;ITUB4;38,36;37,2427;583984472,00
2025-09-08;ITUB4;38,18;37,0680;435978074,00
2025-09-09;ITUB4;37,85;36,7476;718315540,00
2025-09-10;ITUB4;37,88;36,7767;535880405,00
2025-09-11;ITUB4;37,95;36,8447;672555886,00
2025-09-12;ITUB4;37,38;36,2913;820757897,00
2025-09-15;ITUB4;38,00;36,8932;522311941,00
2025-09-16;ITUB4;37,90;36,7961;735492770,00
2025-09-17;ITUB4;38,44;37,3204;943394124,00
2025-09-18;ITUB4;38,49;37,3689;574855130,00
2025-09-19;ITUB4;39,00;37,8641;1008202694,00
2025-09-22;ITUB4;38,44;37,3204;684864840,00
2025-09-23;ITUB4;39,05;37,9126;641788262,00
2025-09-24;ITUB4;38,79;37,6602;705787865,00
2025-09-25;ITUB4;38,48;37,3592;567932843,00
2025-09-26;ITUB4;38,67;37,5437;479690717,00
2025-09-29;ITUB4;38,89;37,7573;724412022,00
2025-09-30;ITUB4;39,07;37,9320;1259916747,00
2025-10-01;ITUB4;38,35;37,2330;955049447,00
2025-10-02;ITUB4;37,93;36,8252;632131810,00
2025-10-03;ITUB4;38,21;37,0971;655896904,00
2025-10-06;ITUB4;37,77;36,6699;545497703,00
2025-10-07;ITUB4;37,17;36,0874;747069375,00
2025-10-08;ITUB4;37,24;36,1553;556060883,00
2025-10-09;ITUB4;37,18;36,0971;652009202,00
2025-10-10;ITUB4;37,14;36,0583;841020078,00
2025-10-13;ITUB4;37,29;36,2039;297559012,00
2025-10-14;ITUB4;37,45;36,3592;772244448,00
2025-10-15;ITUB4;37,45;36,3592;798727554,00
2025-10-16;ITUB4;37,36;36,2718;575807786,00
2025-10-17;ITUB4;37,49;36,3981;635378825,00
2025-10-20;ITUB4;38,16;37,0485;706762396,00
2025-10-21;ITUB4;37,80;36,6990;515990561,00
2025-10-22;ITUB4;38,11;37,0000;511983997,00
2025-10-23;ITUB4;38,08;36,9709;423009507,00
2025-10-24;ITUB4;38,03;36,9223;376433583,00
2025-10-27;ITUB4;38,35;37,2330;417375780,00
2025-10-28;ITUB4;38,48;37,3592;390614874,00
2025-10-29;ITUB4;39,34;38,1942;1037269667,00
2025-10-30;ITUB4;39,29;38,1456;713386137,00
2025-10-31;ITUB4;39,44;38,2913;630896067,00
2025-11-03;ITUB4;40,08;38,9126;697092864,00
2025-11-04;ITUB4;39,96;38,7961;791056519,00
2025-11-05;ITUB4;40,13;38,9612;1401198719,00
2025-11-06;ITUB4;40,13;38,9612;908501742,00
2025-11-07;ITUB4;40,17;39,0000;492660101,00
2025-11-10;ITUB4;40,44;39,2621;649152451,00
2025-11-11;ITUB4;41,22;40,0194;1486638664,00
2025-11-12;ITUB4;40,28;39,1068;1445149270,00
2025-11-13;ITUB4;40,44;39,2621;1324792383,00
2025-11-14;ITUB4;40,60;39,4175;663221207,00
2025-11-17;ITUB4;40,30;39,1262;1723035843,00
2025-11-18;ITUB4;40,10;38,9320;668015196,00
2025-11-19;ITUB4;39,85;38,6893;997557447,00
2025-11-21;ITUB4;39,97;38,8058;637469666,00
2025-11-24;ITUB4;39,82;38,6602;1122741165,00
2025-11-25;ITUB4;39,91;38,7476;1175449709,00
2025-11-26;ITUB4;40,85;39,6602;876729142,00
2025-11-27;ITUB4;40,71;39,5243;373967842,00
2025-11-28;ITUB4;41,64;40,4272;1832446261,00
2025-12-01;ITUB4;41,30;40,0971;639132150,00
2025-12-02;ITUB4;42,22;40,9903;862421367,00
2025-12-03;ITUB4;42,22;40,9903;948079890,00
2025-12-04;ITUB4;43,26;42,0000;969319592,00
2025-12-05;ITUB4;41,26;40,0583;1626791149,00
2025-12-08;ITUB4;41,46;40,2524;1634858705,00
2025-12-09;ITUB4;41,37;40,1650;989339623,00
2025-12-10;ITUB4;39,44;38,2913;978302572,00
2025-12-11;ITUB4;39,41;38,2621;816377429,00
2025-12-12;ITUB4;39,76;38,6019;676520110,00
2025-12-15;ITUB4;40,36;39,1845;695268548,00
2025-12-16;ITUB4;39,32;38,1748;783895147,00
2025-12-17;ITUB4;38,97;37,8350;1196126573,00
2025-12-18;ITUB4;39,17;38,0291;831862377,00
2025-12-19;ITUB4;39,53;38,3786;1365052622,00
